,Country,Region,Continent
0,Afghanistan,Southern Asia,Asia
1,Åland Islands,Northern Europe,Europe
2,Albania,Southern Europe,Europe
3,Algeria,Northern Africa,Africa
4,American Samoa,Polynesia,Oceania
5,Andorra,Southern Europe,Europe
6,Angola,Middle Africa,Africa
7,Anguilla,Caribbean,North America
8,Antarctica,Antarctica,Antarctica
9,Antigua and Barbuda,Caribbean,North America
10,Argentina,South America,South America
11,Armenia,Western Asia,Asia
12,Aruba,Caribbean,North America
13,Australia,Australia and New Zealand,Oceania
14,Austria,Western Europe,Europe
15,Azerbaijan,Western Asia,Asia
16,Bahamas,Caribbean,North America
17,Bahrain,Western Asia,Asia
18,Bangladesh,Southern Asia,Asia
19,Barbados,Caribbean,North America
20,Belarus,Eastern Europe,Europe
21,Belgium,Western Europe,Europe
22,Belize,Central America,North America
23,Benin,Western Africa,Africa
24,Bermuda,Northern America,North America
25,Bhutan,Southern Asia,Asia
26,Bolivia (Plurinational State of),South America,South America
27,"Bonaire, Sint Eustatius and Saba",Caribbean,North America
28,Bosnia and Herzegovina,Southern Europe,Europe
29,Botswana,Southern Africa,Africa
30,Bouvet Island,South America,South America
31,Brazil,South America,South America
32,British Indian Ocean Territory,Eastern Africa,Africa
33,British Virgin Islands,Caribbean,North America
34,Brunei Darussalam,South-eastern Asia,Asia
35,Bulgaria,Eastern Europe,Europe
36,Burkina Faso,Western Africa,Africa
37,Burundi,Eastern Africa,Africa
38,Cabo Verde,Western Africa,Africa
39,Cambodia,South-eastern Asia,Asia
40,Cameroon,Middle Africa,Africa
41,Canada,Northern America,North America
42,Cayman Islands,Caribbean,North America
43,Central African Republic,Middle Africa,Africa
44,Chad,Middle Africa,Africa
45,Chile,South America,South America
46,China,Eastern Asia,Asia
47,"China, Hong Kong Special Administrative Region",Eastern Asia,Asia
48,"China, Macao Special Administrative Region",Eastern Asia,Asia
49,Christmas Island,Australia and New Zealand,Oceania
50,Cocos (Keeling) Islands,Australia and New Zealand,Oceania
51,Colombia,South America,South America
52,Comoros,Eastern Africa,Africa
53,Congo,Middle Africa,Africa
54,Cook Islands,Polynesia,Oceania
55,Costa Rica,Central America,North America
56,Côte d’Ivoire,Western Africa,Africa
57,Croatia,Southern Europe,Europe
58,Cuba,Caribbean,North America
59,Curaçao,Caribbean,North America
60,Cyprus,Western Asia,Asia
61,Czechia,Eastern Europe,Europe
