,Admin2,FIPS,Lat,Long_,Confirmed,Deaths,STNAME,CTYNAME,POPESTIMATE2019,Abbreviation,Mortality,Conf100,Deaths100,Ctylabel,text,text100
0,Autauga,1001.0,32.53952745,-86.64408227,1174,21,Alabama,Autauga County,55869,AL,1.79,2101.344215933702,37.58792890511733,"Autauga, AL","Autauga, AL<br>Cases: 1174<br>Deaths: 21","Autauga, AL<br>Cases per 100k pop: 2101.3<br>Deaths per 100k pop: 37.6"
1,Baldwin,1003.0,30.72774991,-87.72207058,3651,25,Alabama,Baldwin County,223234,AL,0.68,1635.5035523262586,11.199010903357015,"Baldwin, AL","Baldwin, AL<br>Cases: 3651<br>Deaths: 25","Baldwin, AL<br>Cases per 100k pop: 1635.5<br>Deaths per 100k pop: 11.2"
2,Barbour,1005.0,31.868263,-85.3871286,576,5,Alabama,Barbour County,24686,AL,0.87,2333.3063274730616,20.254395203759216,"Barbour, AL","Barbour, AL<br>Cases: 576<br>Deaths: 5","Barbour, AL<br>Cases per 100k pop: 2333.3<br>Deaths per 100k pop: 20.3"
3,Bibb,1007.0,32.99642064,-87.12511459999996,442,5,Alabama,Bibb County,22394,AL,1.13,1973.7429668661248,22.327409127444852,"Bibb, AL","Bibb, AL<br>Cases: 442<br>Deaths: 5","Bibb, AL<br>Cases per 100k pop: 1973.7<br>Deaths per 100k pop: 22.3"
4,Blount,1009.0,33.98210918,-86.56790593,812,4,Alabama,Blount County,57826,AL,0.49,1404.2126379137412,6.91730363504306,"Blount, AL","Blount, AL<br>Cases: 812<br>Deaths: 4","Blount, AL<br>Cases per 100k pop: 1404.2<br>Deaths per 100k pop: 6.9"
5,Bullock,1011.0,32.10030533,-85.71265535,466,11,Alabama,Bullock County,10101,AL,2.36,4613.404613404613,108.9001089001089,"Bullock, AL","Bullock, AL<br>Cases: 466<br>Deaths: 11","Bullock, AL<br>Cases per 100k pop: 4613.4<br>Deaths per 100k pop: 108.9"
6,Butler,1013.0,31.75300095,-86.68057478,767,36,Alabama,Butler County,19448,AL,4.69,3943.8502673796793,185.1090086384204,"Butler, AL","Butler, AL<br>Cases: 767<br>Deaths: 36","Butler, AL<br>Cases per 100k pop: 3943.9<br>Deaths per 100k pop: 185.1"
7,Calhoun,1015.0,33.77483727,-85.82630386,1807,17,Alabama,Calhoun County,113605,AL,0.94,1590.5990053254698,14.964130099907575,"Calhoun, AL","Calhoun, AL<br>Cases: 1807<br>Deaths: 17","Calhoun, AL<br>Cases per 100k pop: 1590.6<br>Deaths per 100k pop: 15.0"
8,Chambers,1017.0,32.91360079,-85.39072749,844,38,Alabama,Chambers County,33254,AL,4.5,2538.040536476815,114.27196728213147,"Chambers, AL","Chambers, AL<br>Cases: 844<br>Deaths: 38","Chambers, AL<br>Cases per 100k pop: 2538.0<br>Deaths per 100k pop: 114.3"
9,Cherokee,1019.0,34.17805983,-85.60638968,275,8,Alabama,Cherokee County,26196,AL,2.91,1049.7785921514735,30.539013589861046,"Cherokee, AL","Cherokee, AL<br>Cases: 275<br>Deaths: 8","Cherokee, AL<br>Cases per 100k pop: 1049.8<br>Deaths per 100k pop: 30.5"
10,Chilton,1021.0,32.85044126,-86.7173256,809,7,Alabama,Chilton County,44428,AL,0.87,1820.9237417844602,15.75582965697308,"Chilton, AL","Chilton, AL<br>Cases: 809<br>Deaths: 7","Chilton, AL<br>Cases per 100k pop: 1820.9<br>Deaths per 100k pop: 15.8"
11,Choctaw,1023.0,32.02227341,-88.26564429999998,287,12,Alabama,Choctaw County,12589,AL,4.18,2279.7680514735084,95.32131225673207,"Choctaw, AL","Choctaw, AL<br>Cases: 287<br>Deaths: 12","Choctaw, AL<br>Cases per 100k pop: 2279.8<br>Deaths per 100k pop: 95.3"
12,Clarke,1025.0,31.68099859,-87.83548597,826,10,Alabama,Clarke County,23622,AL,1.21,3496.740326813987,42.33341800016933,"Clarke, AL","Clarke, AL<br>Cases: 826<br>Deaths: 10","Clarke, AL<br>Cases per 100k pop: 3496.7<br>Deaths per 100k pop: 42.3"
13,Clay,1027.0,33.26984193,-85.85836077,263,5,Alabama,Clay County,13235,AL,1.9,1987.1552701171138,37.778617302606726,"Clay, AL","Clay, AL<br>Cases: 263<br>Deaths: 5","Clay, AL<br>Cases per 100k pop: 1987.2<br>Deaths per 100k pop: 37.8"
14,Cleburne,1029.0,33.67679204,-85.52005899,127,1,Alabama,Cleburne County,14910,AL,0.79,851.7773306505701,6.70690811535882,"Cleburne, AL","Cleburne, AL<br>Cases: 127<br>Deaths: 1","Cleburne, AL<br>Cases per 100k pop: 851.8<br>Deaths per 100k pop: 6.7"
