date,name,areaType,code,dailyCases,cumulativeCases,dailyDeaths,cumulativeDeaths
2020-09-10,England,nation,E92000001,30.0,312276.0,3.0,36950.0
2020-09-09,England,nation,E92000001,578.0,312246.0,7.0,36947.0
2020-09-08,England,nation,E92000001,1829.0,311668.0,8.0,36940.0
2020-09-07,England,nation,E92000001,2834.0,309839.0,11.0,36932.0
2020-09-06,England,nation,E92000001,1968.0,307005.0,9.0,36921.0
2020-09-05,England,nation,E92000001,2071.0,305037.0,9.0,36912.0
2020-09-04,England,nation,E92000001,2478.0,302966.0,5.0,36903.0
2020-09-03,England,nation,E92000001,2643.0,300488.0,5.0,36898.0
2020-09-02,England,nation,E92000001,2608.0,297845.0,7.0,36893.0
2020-09-01,England,nation,E92000001,1914.0,295237.0,3.0,36886.0
2020-08-31,England,nation,E92000001,1255.0,293323.0,6.0,36883.0
2020-08-30,England,nation,E92000001,967.0,292068.0,6.0,36877.0
2020-08-29,England,nation,E92000001,1035.0,291101.0,5.0,36871.0
2020-08-28,England,nation,E92000001,1378.0,290066.0,6.0,36866.0
2020-08-27,England,nation,E92000001,1325.0,288688.0,8.0,36860.0
2020-08-26,England,nation,E92000001,1133.0,287363.0,11.0,36852.0
2020-08-25,England,nation,E92000001,1055.0,286230.0,11.0,36841.0
2020-08-24,England,nation,E92000001,1079.0,285175.0,6.0,36830.0
2020-08-23,England,nation,E92000001,691.0,284096.0,11.0,36824.0
2020-08-22,England,nation,E92000001,712.0,283405.0,5.0,36813.0
2020-08-21,England,nation,E92000001,1000.0,282693.0,7.0,36808.0
2020-08-20,England,nation,E92000001,1218.0,281693.0,7.0,36801.0
2020-08-19,England,nation,E92000001,1074.0,280475.0,1.0,36794.0
2020-08-18,England,nation,E92000001,924.0,279401.0,7.0,36793.0
2020-08-17,England,nation,E92000001,1136.0,278477.0,12.0,36786.0
2020-08-16,England,nation,E92000001,526.0,277341.0,4.0,36774.0
2020-08-15,England,nation,E92000001,648.0,276815.0,12.0,36770.0
2020-08-14,England,nation,E92000001,1043.0,276167.0,6.0,36758.0
2020-08-13,England,nation,E92000001,1018.0,275124.0,7.0,36752.0
2020-08-12,England,nation,E92000001,1084.0,274106.0,6.0,36745.0
2020-08-11,England,nation,E92000001,1211.0,273022.0,10.0,36739.0
2020-08-10,England,nation,E92000001,1352.0,271811.0,11.0,36729.0
2020-08-09,England,nation,E92000001,557.0,270459.0,8.0,36718.0
2020-08-08,England,nation,E92000001,637.0,269902.0,11.0,36710.0
2020-08-07,England,nation,E92000001,858.0,269265.0,7.0,36699.0
2020-08-06,England,nation,E92000001,982.0,268407.0,9.0,36692.0
2020-08-05,England,nation,E92000001,946.0,267425.0,3.0,36683.0
2020-08-04,England,nation,E92000001,920.0,266479.0,11.0,36680.0
2020-08-03,England,nation,E92000001,940.0,265559.0,15.0,36669.0
2020-08-02,England,nation,E92000001,514.0,264619.0,8.0,36654.0
2020-08-01,England,nation,E92000001,494.0,264105.0,9.0,36646.0
2020-07-31,England,nation,E92000001,622.0,263611.0,10.0,36637.0
2020-07-30,England,nation,E92000001,856.0,262989.0,8.0,36627.0
2020-07-29,England,nation,E92000001,970.0,262133.0,8.0,36619.0
2020-07-28,England,nation,E92000001,780.0,261163.0,10.0,36611.0
2020-07-27,England,nation,E92000001,809.0,260383.0,10.0,36601.0
2020-07-26,England,nation,E92000001,516.0,259574.0,14.0,36591.0
2020-07-25,England,nation,E92000001,490.0,259058.0,13.0,36577.0
2020-07-24,England,nation,E92000001,715.0,258568.0,6.0,36564.0
2020-07-23,England,nation,E92000001,734.0,257853.0,16.0,36558.0
2020-07-22,England,nation,E92000001,748.0,257119.0,16.0,36542.0
2020-07-21,England,nation,E92000001,690.0,256371.0,19.0,36526.0
2020-07-20,England,nation,E92000001,754.0,255681.0,13.0,36507.0
2020-07-19,England,nation,E92000001,413.0,254927.0,14.0,36494.0
2020-07-18,England,nation,E92000001,467.0,254514.0,14.0,36480.0
2020-07-17,England,nation,E92000001,547.0,254047.0,18.0,36466.0
2020-07-16,England,nation,E92000001,640.0,253500.0,12.0,36448.0
2020-07-15,England,nation,E92000001,723.0,252860.0,20.0,36436.0
2020-07-14,England,nation,E92000001,651.0,252137.0,20.0,36416.0
2020-07-13,England,nation,E92000001,689.0,251486.0,22.0,36396.0
2020-07-12,England,nation,E92000001,352.0,250797.0,12.0,36374.0
2020-07-11,England,nation,E92000001,420.0,250445.0,21.0,36362.0
2020-07-10,England,nation,E92000001,522.0,250025.0,21.0,36341.0
2020-07-09,England,nation,E92000001,685.0,249503.0,35.0,36320.0
2020-07-08,England,nation,E92000001,673.0,248818.0,23.0,36285.0
2020-07-07,England,nation,E92000001,557.0,248145.0,26.0,36262.0
2020-07-06,England,nation,E92000001,656.0,247588.0,33.0,36236.0
2020-07-05,England,nation,E92000001,539.0,246932.0,24.0,36203.0
2020-07-04,England,nation,E92000001,387.0,246393.0,31.0,36179.0
2020-07-03,England,nation,E92000001,542.0,246006.0,26.0,36148.0
2020-07-02,England,nation,E92000001,560.0,245464.0,40.0,36122.0
2020-07-01,England,nation,E92000001,608.0,244904.0,22.0,36082.0
2020-06-30,England,nation,E92000001,572.0,244296.0,44.0,36060.0
2020-06-29,England,nation,E92000001,668.0,243724.0,33.0,36016.0
2020-06-28,England,nation,E92000001,411.0,243056.0,42.0,35983.0
2020-06-27,England,nation,E92000001,504.0,242645.0,40.0,35941.0
2020-06-26,England,nation,E92000001,645.0,242141.0,38.0,35901.0
2020-06-25,England,nation,E92000001,637.0,241496.0,57.0,35863.0
2020-06-24,England,nation,E92000001,728.0,240859.0,69.0,35806.0
2020-06-23,England,nation,E92000001,727.0,240131.0,60.0,35737.0
2020-06-22,England,nation,E92000001,816.0,239404.0,58.0,35677.0
2020-06-21,England,nation,E92000001,550.0,238588.0,47.0,35619.0
2020-06-20,England,nation,E92000001,628.0,238038.0,54.0,35572.0
2020-06-19,England,nation,E92000001,815.0,237410.0,47.0,35518.0
2020-06-18,England,nation,E92000001,944.0,236595.0,57.0,35471.0
2020-06-17,England,nation,E92000001,911.0,235651.0,53.0,35414.0
2020-06-16,England,nation,E92000001,994.0,234740.0,70.0,35361.0
2020-06-15,England,nation,E92000001,937.0,233746.0,61.0,35291.0
2020-06-14,England,nation,E92000001,746.0,232809.0,76.0,35230.0
2020-06-13,England,nation,E92000001,787.0,232063.0,52.0,35154.0
2020-06-12,England,nation,E92000001,937.0,231276.0,72.0,35102.0
2020-06-11,England,nation,E92000001,917.0,230339.0,71.0,35030.0
2020-06-10,England,nation,E92000001,1084.0,229422.0,97.0,34959.0
2020-06-09,England,nation,E92000001,1056.0,228338.0,85.0,34862.0
2020-06-08,England,nation,E92000001,990.0,227282.0,111.0,34777.0
2020-06-07,England,nation,E92000001,664.0,226292.0,111.0,34666.0
2020-06-06,England,nation,E92000001,722.0,225628.0,97.0,34555.0
2020-06-05,England,nation,E92000001,1022.0,224906.0,108.0,34458.0
2020-06-04,England,nation,E92000001,1144.0,223884.0,120.0,34350.0
2020-06-03,England,nation,E92000001,1244.0,222740.0,138.0,34230.0
2020-06-02,England,nation,E92000001,1356.0,221496.0,157.0,34092.0
2020-06-01,England,nation,E92000001,1311.0,220140.0,122.0,33935.0
2020-05-31,England,nation,E92000001,985.0,218829.0,112.0,33813.0
2020-05-30,England,nation,E92000001,997.0,217844.0,144.0,33701.0
2020-05-29,England,nation,E92000001,1371.0,216847.0,163.0,33557.0
2020-05-28,England,nation,E92000001,1572.0,215476.0,183.0,33394.0
2020-05-27,England,nation,E92000001,1614.0,213904.0,169.0,33211.0
2020-05-26,England,nation,E92000001,1460.0,212290.0,187.0,33042.0
2020-05-25,England,nation,E92000001,1382.0,210830.0,176.0,32855.0
2020-05-24,England,nation,E92000001,1199.0,209448.0,169.0,32679.0
2020-05-23,England,nation,E92000001,1299.0,208249.0,198.0,32510.0
2020-05-22,England,nation,E92000001,1801.0,206950.0,195.0,32312.0
2020-05-21,England,nation,E92000001,2273.0,205149.0,201.0,32117.0
2020-05-20,England,nation,E92000001,2354.0,202876.0,235.0,31916.0
2020-05-19,England,nation,E92000001,2582.0,200522.0,230.0,31681.0
2020-05-18,England,nation,E92000001,2214.0,197940.0,253.0,31451.0
2020-05-17,England,nation,E92000001,1591.0,195726.0,221.0,31198.0
2020-05-16,England,nation,E92000001,1768.0,194135.0,269.0,30977.0
2020-05-15,England,nation,E92000001,2128.0,192367.0,268.0,30708.0
2020-05-14,England,nation,E92000001,2207.0,190239.0,278.0,30440.0
2020-05-13,England,nation,E92000001,2881.0,188032.0,254.0,30162.0
