date,name,areaType,code,dailyCases,cumulativeCases,dailyDeaths,cumulativeDeaths
2020-09-10,East Midlands,region,E12000004,0.0,28073.0,0.0,2947.0
2020-09-10,East of England,region,E12000006,0.0,27928.0,0.0,4136.0
2020-09-10,London,region,E12000007,2.0,42485.0,0.0,6177.0
2020-09-10,North East,region,E12000001,4.0,17972.0,0.0,2127.0
2020-09-10,North West,region,E12000002,0.0,58837.0,2.0,6195.0
2020-09-10,South East,region,E12000008,4.0,39603.0,0.0,4989.0
2020-09-10,South West,region,E12000009,1.0,15630.0,0.0,1887.0
2020-09-10,West Midlands,region,E12000005,5.0,33453.0,0.0,4565.0
2020-09-10,Yorkshire and The Humber,region,E12000003,11.0,39172.0,0.0,3615.0
2020-09-07,East Midlands,region,E12000004,4.0,27415.0,1.0,2945.0
2020-09-07,East of England,region,E12000006,0.0,27516.0,0.0,4135.0
2020-09-07,London,region,E12000007,3.0,41450.0,0.0,6174.0
2020-09-07,North East,region,E12000001,2.0,17335.0,1.0,2127.0
2020-09-07,North West,region,E12000002,2.0,56743.0,6.0,6180.0
2020-09-07,South East,region,E12000008,0.0,38957.0,0.0,4987.0
2020-09-07,South West,region,E12000009,0.0,15308.0,2.0,1887.0
2020-09-07,West Midlands,region,E12000005,1.0,32356.0,0.0,4562.0
2020-09-07,Yorkshire and The Humber,region,E12000003,1.0,38148.0,0.0,3612.0
2020-09-06,East Midlands,region,E12000004,2.0,27240.0,0.0,2943.0
2020-09-06,East of England,region,E12000006,1.0,27400.0,0.0,4133.0
2020-09-06,London,region,E12000007,5.0,41123.0,0.0,6173.0
2020-09-06,North East,region,E12000001,0.0,17227.0,0.0,2124.0
2020-09-06,North West,region,E12000002,0.0,56269.0,0.0,6169.0
2020-09-06,South East,region,E12000008,2.0,38733.0,0.0,4985.0
2020-09-06,South West,region,E12000009,1.0,15205.0,0.0,1884.0
2020-09-06,West Midlands,region,E12000005,1.0,32104.0,0.0,4560.0
2020-09-06,Yorkshire and The Humber,region,E12000003,4.0,37851.0,0.0,3610.0
