,Specimen date,Cumulative cases
0,2020-03-07,16
1,2020-03-08,21
2,2020-03-09,23
3,2020-03-10,27
4,2020-03-11,36
5,2020-03-12,60
6,2020-03-13,84
7,2020-03-14,123
8,2020-03-15,155
9,2020-03-16,170
10,2020-03-17,191
11,2020-03-18,221
12,2020-03-19,266
13,2020-03-20,322
14,2020-03-21,373
15,2020-03-22,416
16,2020-03-23,499
17,2020-03-24,584
18,2020-03-25,719
19,2020-03-26,894
20,2020-03-27,1059
21,2020-03-28,1264
22,2020-03-29,1417
23,2020-03-30,1632
24,2020-03-31,1993
25,2020-04-01,2310
26,2020-04-02,2602
27,2020-04-03,3001
28,2020-04-04,3345
29,2020-04-05,3706
30,2020-04-06,3961
31,2020-04-07,4229
32,2020-04-08,4565
33,2020-04-09,4957
34,2020-04-10,5275
35,2020-04-11,5590
36,2020-04-12,5912
37,2020-04-13,6067
38,2020-04-14,6358
39,2020-04-15,6748
40,2020-04-16,7102
41,2020-04-17,7409
42,2020-04-18,7820
43,2020-04-19,8187
44,2020-04-20,8450
45,2020-04-21,8672
46,2020-04-22,9038
47,2020-04-23,9409
48,2020-04-24,9697
49,2020-04-25,10051
50,2020-04-26,10324
51,2020-04-27,10521
52,2020-04-28,10721
53,2020-04-29,11034
54,2020-04-30,11353
55,2020-05-01,11654
56,2020-05-02,11927
57,2020-05-03,12097
58,2020-05-04,12266
59,2020-05-05,12437
60,2020-05-06,12709
61,2020-05-07,12924
62,2020-05-08,13149
63,2020-05-09,13305
64,2020-05-10,13486
65,2020-05-11,13627
66,2020-05-12,13763
67,2020-05-13,13929
68,2020-05-14,14117
69,2020-05-15,14260
70,2020-05-16,14447
71,2020-05-17,14537
72,2020-05-18,14594
73,2020-05-19,14655
74,2020-05-20,14751
75,2020-05-21,14856
76,2020-05-22,14969
77,2020-05-23,15041
78,2020-05-24,15101
79,2020-05-25,15156
80,2020-05-26,15185
81,2020-05-27,15240
82,2020-05-28,15288
83,2020-05-29,15327
84,2020-05-30,15382
85,2020-05-31,15400
86,2020-06-01,15418
87,2020-06-02,15471
88,2020-06-03,15504
89,2020-06-04,15553
90,2020-06-05,15582
91,2020-06-06,15603
92,2020-06-07,15621
93,2020-06-08,15639
94,2020-06-09,15653
95,2020-06-10,15665
96,2020-06-11,15682
97,2020-06-12,15709
98,2020-06-13,15730
99,2020-06-14,15755
100,2020-06-15,18030
101,2020-06-16,18045
102,2020-06-17,18066
103,2020-06-18,18077
104,2020-06-19,18104
105,2020-06-20,18130
106,2020-06-21,18156
107,2020-06-22,18170
108,2020-06-23,18182
109,2020-06-24,18191
110,2020-06-25,18196
111,2020-06-26,18213
112,2020-06-27,18228
113,2020-06-28,18236
114,2020-06-29,18241
115,2020-06-30,18251
116,2020-07-01,18259
117,2020-07-02,18264
118,2020-07-03,18276
119,2020-07-04,18287
120,2020-07-05,18296
121,2020-07-06,18300
122,2020-07-07,18302
123,2020-07-08,18309
124,2020-07-09,18315
125,2020-07-10,18333
126,2020-07-11,18340
127,2020-07-12,18359
128,2020-07-13,18365
129,2020-07-14,18368
130,2020-07-15,18373
131,2020-07-16,18384
132,2020-07-17,18401
133,2020-07-18,18422
134,2020-07-19,18445
135,2020-07-20,18452
136,2020-07-21,18474
137,2020-07-22,18484
138,2020-07-23,18500
139,2020-07-24,18520
140,2020-07-25,18547
141,2020-07-26,18551
142,2020-07-27,18554
143,2020-07-28,18558
144,2020-07-29,18580
145,2020-07-30,18597
146,2020-07-31,18627
147,2020-08-01,18645
148,2020-08-02,18676
149,2020-08-03,18694
150,2020-08-04,18717
151,2020-08-05,18781
