,ReportingArea,long,lat
0,Hartlepool,-1.27018,54.67614
1,Middlesbrough,-1.21099,54.54467
2,Redcar and Cleveland,-1.00608,54.56752
3,Stockton-on-Tees,-1.30664,54.556911
4,Darlington,-1.56835,54.535339
5,Halton,-2.68853,53.33424
6,Warrington,-2.56167,53.391628
7,Blackburn with Darwen,-2.4636,53.700802
8,Blackpool,-3.02199,53.82164
9,"Kingston upon Hull, City of",-0.30382,53.769199
10,East Riding of Yorkshire,-0.66195,53.88111899999999
11,North East Lincolnshire,-0.13910999999999998,53.52327
12,North Lincolnshire,-0.52407,53.58643000000001
13,York,-1.07375,53.96582
14,Derby,-1.47189,52.914639
15,Leicester,-1.1304,52.635921
16,Rutland,-0.6263,52.667648
17,Nottingham,-1.16667,52.954189
18,"Herefordshire, County of",-2.73931,52.081539
19,Telford and Wrekin,-2.48941,52.71416899999999
20,Stoke-on-Trent,-2.15888,53.017071
21,Bath and North East Somerset,-2.48654,51.356041
22,"Bristol, City of",-2.57742,51.471149
23,North Somerset,-2.7543900000000003,51.397072
24,South Gloucestershire,-2.46922,51.54673
25,Plymouth,-4.11297,50.404942
26,Torbay,-3.5552300000000003,50.470921
27,Swindon,-1.73367,51.577629
28,Peterborough,-0.26874000000000003,52.59214
29,Luton,-0.42319,51.891022
30,Southend-on-Sea,0.706923,51.549171
31,Thurrock,0.334861,51.509979
32,Medway,0.563174,51.44772
33,Bracknell Forest,-0.73363,51.411301
34,West Berkshire,-1.27364,51.445591
35,Reading,-0.99071,51.453018
36,Slough,-0.57617,51.50350200000001
37,Windsor and Maidenhead,-0.6754100000000001,51.480339
38,Wokingham,-0.89935,51.422958
39,Milton Keynes,-0.7407,52.072411
40,Brighton and Hove,-0.15079,50.8465
41,Portsmouth,-1.07006,50.807999
42,Southampton,-1.39952,50.9212
43,Isle of Wight,-1.33366,50.671291
44,County Durham,-1.8405,54.68513100000001
45,Cheshire East,-2.29299,53.167931
46,Cheshire West and Chester,-2.70298,53.163361
47,Shropshire,-2.73667,52.62212
48,Cornwall,-4.64254,50.450218
49,Isles of Scilly,-6.3021699999999985,49.923321
50,Wiltshire,-1.92661,51.328831
51,Bedford,-0.45463,52.196281
52,Central Bedfordshire,-0.47754,51.999031
53,Northumberland,-2.07523,55.300369
54,"Bournemouth, Christchurch and Poole",-1.84807,50.74609
55,Dorset,-2.41467,50.79697
56,Bolton,-2.47952,53.584492
57,Bury,-2.3088,53.593102
58,Manchester,-2.23359,53.470089
59,Oldham,-2.05274,53.557678
60,Rochdale,-2.14784,53.60741
61,Salford,-2.38485,53.479271
62,Stockport,-2.12467,53.391159
63,Tameside,-2.077,53.478668000000006
64,Trafford,-2.36572,53.41671
65,Wigan,-2.57247,53.51445
66,Knowsley,-2.83297,53.437881
67,Liverpool,-2.91364,53.408298
68,St. Helens,-2.7031,53.45861800000001
69,Sefton,-2.9917700000000003,53.482101
70,Wirral,-3.06701,53.374779
71,Barnsley,-1.54925,53.52576800000001
72,Doncaster,-1.10894,53.52697
73,Rotherham,-1.28651,53.39553100000001
74,Sheffield,-1.54254,53.40358000000001
75,Newcastle upon Tyne,-1.65297,55.021011
76,North Tyneside,-1.5092299999999998,55.028961
77,South Tyneside,-1.44679,54.96987900000001
78,Sunderland,-1.43344,54.857189
79,Birmingham,-1.88141,52.484039
80,Coventry,-1.51908,52.41423
81,Dudley,-2.10171,52.49512900000001
82,Sandwell,-2.00771,52.514771
83,Solihull,-1.71558,52.431
84,Walsall,-1.97044,52.605030000000006
85,Wolverhampton,-2.12746,52.59788100000001
86,Bradford,-1.87389,53.843819
87,Calderdale,-1.96182,53.720482
88,Kirklees,-1.78085,53.64233
89,Leeds,-1.50736,53.82273100000001
90,Wakefield,-1.4209200000000002,53.659222
91,Gateshead,-1.6868,54.931198
92,City of London,-0.09353,51.515652
93,Barking and Dagenham,0.12947899999999998,51.545551
94,Barnet,-0.21821,51.61108
95,Bexley,0.146227,51.458229
96,Brent,-0.27568000000000004,51.564411
97,Bromley,0.039246,51.372669
98,Camden,-0.16289,51.54306
99,Croydon,-0.07761,51.36597800000001
100,Ealing,-0.31407,51.524429
101,Enfield,-0.08147,51.64888
102,Greenwich,0.050107,51.463928
103,Hackney,-0.06045,51.55492
104,Hammersmith and Fulham,-0.21735,51.487331
105,Haringey,-0.10667,51.587711
106,Harrow,-0.33603,51.594669
107,Havering,0.235368,51.565189
108,Hillingdon,-0.44182,51.536629
109,Hounslow,-0.37847,51.462429
110,Islington,-0.10992,51.545479
111,Kensington and Chelsea,-0.18976,51.496441
112,Kingston upon Thames,-0.28367,51.39296
113,Lambeth,-0.11385,51.464451
114,Lewisham,-0.01733,51.44231
115,Merton,-0.18867,51.410568
116,Newham,0.027289,51.531471
117,Redbridge,0.07007100000000001,51.585892
118,Richmond upon Thames,-0.28914,51.44035
119,Southwark,-0.07306,51.465919
120,Sutton,-0.17227,51.357559
121,Tower Hamlets,-0.03643,51.515541
122,Waltham Forest,-0.01881,51.594608
123,Wandsworth,-0.20023,51.4524
124,Westminster,-0.15295,51.512199
125,Buckinghamshire,-0.80569,51.769661
126,Cambridgeshire,-0.23506,52.349659
127,Cumbria,-2.90213,54.63637900000001
128,Derbyshire,-1.6021,53.07857900000001
129,Devon,-3.65698,50.72557800000001
130,East Sussex,0.334559,50.938049
131,Essex,0.54106,51.809818
132,Gloucestershire,-2.15235,51.81971
133,Hampshire,-1.24735,51.044739
134,Hertfordshire,-0.27699,51.808788
135,Kent,0.72137,51.192951
136,Lancashire,-2.46091,53.86216
137,Leicestershire,-1.3779,52.68779
138,Lincolnshire,-0.23884,53.11101899999999
139,Norfolk,0.964714,52.67123
140,Northamptonshire,-0.8666799999999999,52.31105
141,North Yorkshire,-1.55032,54.093712
142,Nottinghamshire,-1.00656,53.12850200000001
143,Oxfordshire,-1.29146,51.771549
144,Somerset,-3.29595,51.071819
145,Staffordshire,-2.02756,52.909302
146,Suffolk,1.04919,52.253849
147,Surrey,-0.33911,51.268028
148,Warwickshire,-1.56874,52.179771
149,West Sussex,-0.45933,50.95134
150,Worcestershire,-2.20935,52.212872
151,Antrim and Newtownabbey,-6.1776,54.693859
152,"Armagh City, Banbridge and Craigavon",-6.43455,54.3867
153,Belfast,-5.92535,54.59853
154,Causeway Coast and Glens,-6.5996,55.039619
155,Derry City and Strabane,-7.42064,54.80904
156,Fermanagh and Omagh,-7.5271,54.385208
157,Lisburn and Castlereagh,-6.03545,54.49752
158,Mid and East Antrim,-6.14645,54.86462
159,Mid Ulster,-6.8889,54.55273100000001
160,"Newry, Mourne and Down",-6.08891,54.149529
161,Ards and North Down,-5.6456800000000005,54.56409100000001
162,Tayside,-3.75344,56.14724
163,Dumfries and Galloway,-4.0286300000000015,55.09621
164,Ayrshire and Arran,-4.29057,55.496738
165,Lothian,-2.72435,55.94207
166,Greater Glasgow and Clyde,-4.3606,55.74868000000001
167,Eileanan Siar (Western Isles),-6.65722,58.199379
168,Tayside,-3.7706,55.99604
169,Highland,-4.66103,57.586571
170,Greater Glasgow and Clyde,-4.75387,55.900299
171,Lothian,-3.11738,55.82111
172,Grampian,-3.20187,57.47683000000001
173,Ayrshire and Arran,-4.7246,55.72789
174,Orkney Islands,-2.90025,58.94334
175,Borders,-2.85866,55.52594000000001
176,Shetland,-1.37344,60.504951
177,Ayrshire and Arran,-4.7289900000000005,55.23008000000001
178,Lanarkshire,-3.83272,55.60453
179,Tayside,-4.32595,56.24953100000001
180,Grampian,-2.20398,57.166969
181,Grampian,-2.79208,57.234692
182,Highland,-5.22114,56.28944
183,Lothian,-3.27826,55.91119000000001
184,Greater Glasgow and Clyde,-4.56834,55.848621
185,Greater Glasgow and Clyde,-4.52074,56.0014
186,Lothian,-3.60909,55.8992
187,Tayside,-2.89189,56.7248
188,Tayside,-2.97095,56.4776
189,Greater Glasgow and Clyde,-4.22417,55.95829000000001
190,Fife,-2.98235,56.231171
191,Tayside,-3.8848,56.575291
192,Greater Glasgow and Clyde,-4.21479,55.876492000000006
193,Lanarkshire,-3.9514,55.868141
194,Isle of Anglesey,-4.32306,53.279419
195,Gwynedd,-3.77715,52.89883
196,Conwy,-3.74646,53.147388
197,Denbighshire,-3.34761,53.088329
198,Flintshire,-3.18248,53.21471
199,Wrexham,-2.99203,53.001671
200,Ceredigion,-3.94993,52.297951
201,Pembrokeshire,-4.9081800000000015,51.855129
