,SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE2019,State,FIPS,Abbreviation
0,40,3,6,1,0,Alabama,Alabama,4903185,1000,1000,AL
1,50,3,6,1,1,Alabama,Autauga County,55869,1000,1001,AL
2,50,3,6,1,3,Alabama,Baldwin County,223234,1000,1003,AL
3,50,3,6,1,5,Alabama,Barbour County,24686,1000,1005,AL
4,50,3,6,1,7,Alabama,Bibb County,22394,1000,1007,AL
5,50,3,6,1,9,Alabama,Blount County,57826,1000,1009,AL
6,50,3,6,1,11,Alabama,Bullock County,10101,1000,1011,AL
7,50,3,6,1,13,Alabama,Butler County,19448,1000,1013,AL
8,50,3,6,1,15,Alabama,Calhoun County,113605,1000,1015,AL
9,50,3,6,1,17,Alabama,Chambers County,33254,1000,1017,AL
10,50,3,6,1,19,Alabama,Cherokee County,26196,1000,1019,AL
11,50,3,6,1,21,Alabama,Chilton County,44428,1000,1021,AL
12,50,3,6,1,23,Alabama,Choctaw County,12589,1000,1023,AL
13,50,3,6,1,25,Alabama,Clarke County,23622,1000,1025,AL
14,50,3,6,1,27,Alabama,Clay County,13235,1000,1027,AL
15,50,3,6,1,29,Alabama,Cleburne County,14910,1000,1029,AL
16,50,3,6,1,31,Alabama,Coffee County,52342,1000,1031,AL
17,50,3,6,1,33,Alabama,Colbert County,55241,1000,1033,AL
18,50,3,6,1,35,Alabama,Conecuh County,12067,1000,1035,AL
19,50,3,6,1,37,Alabama,Coosa County,10663,1000,1037,AL
20,50,3,6,1,39,Alabama,Covington County,37049,1000,1039,AL
21,50,3,6,1,41,Alabama,Crenshaw County,13772,1000,1041,AL
22,50,3,6,1,43,Alabama,Cullman County,83768,1000,1043,AL
23,50,3,6,1,45,Alabama,Dale County,49172,1000,1045,AL
24,50,3,6,1,47,Alabama,Dallas County,37196,1000,1047,AL
25,50,3,6,1,49,Alabama,DeKalb County,71513,1000,1049,AL
26,50,3,6,1,51,Alabama,Elmore County,81209,1000,1051,AL
27,50,3,6,1,53,Alabama,Escambia County,36633,1000,1053,AL
28,50,3,6,1,55,Alabama,Etowah County,102268,1000,1055,AL
29,50,3,6,1,57,Alabama,Fayette County,16302,1000,1057,AL
30,50,3,6,1,59,Alabama,Franklin County,31362,1000,1059,AL
31,50,3,6,1,61,Alabama,Geneva County,26271,1000,1061,AL
32,50,3,6,1,63,Alabama,Greene County,8111,1000,1063,AL
33,50,3,6,1,65,Alabama,Hale County,14651,1000,1065,AL
34,50,3,6,1,67,Alabama,Henry County,17205,1000,1067,AL
35,50,3,6,1,69,Alabama,Houston County,105882,1000,1069,AL
36,50,3,6,1,71,Alabama,Jackson County,51626,1000,1071,AL
37,50,3,6,1,73,Alabama,Jefferson County,658573,1000,1073,AL
38,50,3,6,1,75,Alabama,Lamar County,13805,1000,1075,AL
39,50,3,6,1,77,Alabama,Lauderdale County,92729,1000,1077,AL
40,50,3,6,1,79,Alabama,Lawrence County,32924,1000,1079,AL
41,50,3,6,1,81,Alabama,Lee County,164542,1000,1081,AL
42,50,3,6,1,83,Alabama,Limestone County,98915,1000,1083,AL
43,50,3,6,1,85,Alabama,Lowndes County,9726,1000,1085,AL
44,50,3,6,1,87,Alabama,Macon County,18068,1000,1087,AL
45,50,3,6,1,89,Alabama,Madison County,372909,1000,1089,AL
46,50,3,6,1,91,Alabama,Marengo County,18863,1000,1091,AL
47,50,3,6,1,93,Alabama,Marion County,29709,1000,1093,AL
48,50,3,6,1,95,Alabama,Marshall County,96774,1000,1095,AL
49,50,3,6,1,97,Alabama,Mobile County,413210,1000,1097,AL
50,50,3,6,1,99,Alabama,Monroe County,20733,1000,1099,AL
51,50,3,6,1,101,Alabama,Montgomery County,226486,1000,1101,AL
52,50,3,6,1,103,Alabama,Morgan County,119679,1000,1103,AL
53,50,3,6,1,105,Alabama,Perry County,8923,1000,1105,AL
54,50,3,6,1,107,Alabama,Pickens County,19930,1000,1107,AL
55,50,3,6,1,109,Alabama,Pike County,33114,1000,1109,AL
56,50,3,6,1,111,Alabama,Randolph County,22722,1000,1111,AL
57,50,3,6,1,113,Alabama,Russell County,57961,1000,1113,AL
58,50,3,6,1,115,Alabama,St. Clair County,89512,1000,1115,AL
59,50,3,6,1,117,Alabama,Shelby County,217702,1000,1117,AL
60,50,3,6,1,119,Alabama,Sumter County,12427,1000,1119,AL
61,50,3,6,1,121,Alabama,Talladega County,79978,1000,1121,AL
62,50,3,6,1,123,Alabama,Tallapoosa County,40367,1000,1123,AL
63,50,3,6,1,125,Alabama,Tuscaloosa County,209355,1000,1125,AL
64,50,3,6,1,127,Alabama,Walker County,63521,1000,1127,AL
65,50,3,6,1,129,Alabama,Washington County,16326,1000,1129,AL
66,50,3,6,1,131,Alabama,Wilcox County,10373,1000,1131,AL
67,50,3,6,1,133,Alabama,Winston County,23629,1000,1133,AL
68,40,4,9,2,0,Alaska,Alaska,731545,2000,2000,AK
69,50,4,9,2,13,Alaska,Aleutians East Borough,3337,2000,2013,AK
70,50,4,9,2,16,Alaska,Aleutians West Census Area,5634,2000,2016,AK
71,50,4,9,2,20,Alaska,Anchorage Municipality,288000,2000,2020,AK
72,50,4,9,2,50,Alaska,Bethel Census Area,18386,2000,2050,AK
73,50,4,9,2,60,Alaska,Bristol Bay Borough,836,2000,2060,AK
74,50,4,9,2,68,Alaska,Denali Borough,2097,2000,2068,AK
75,50,4,9,2,70,Alaska,Dillingham Census Area,4916,2000,2070,AK
76,50,4,9,2,90,Alaska,Fairbanks North Star Borough,96849,2000,2090,AK
77,50,4,9,2,100,Alaska,Haines Borough,2530,2000,2100,AK
78,50,4,9,2,105,Alaska,Hoonah-Angoon Census Area,2148,2000,2105,AK
79,50,4,9,2,110,Alaska,Juneau City and Borough,31974,2000,2110,AK
80,50,4,9,2,122,Alaska,Kenai Peninsula Borough,58708,2000,2122,AK
81,50,4,9,2,130,Alaska,Ketchikan Gateway Borough,13901,2000,2130,AK
82,50,4,9,2,150,Alaska,Kodiak Island Borough,12998,2000,2150,AK
83,50,4,9,2,158,Alaska,Kusilvak Census Area,8314,2000,2158,AK
84,50,4,9,2,164,Alaska,Lake and Peninsula Borough,1592,2000,2164,AK
85,50,4,9,2,170,Alaska,Matanuska-Susitna Borough,108317,2000,2170,AK
86,50,4,9,2,180,Alaska,Nome Census Area,10004,2000,2180,AK
87,50,4,9,2,185,Alaska,North Slope Borough,9832,2000,2185,AK
88,50,4,9,2,188,Alaska,Northwest Arctic Borough,7621,2000,2188,AK
89,50,4,9,2,195,Alaska,Petersburg Borough,3266,2000,2195,AK
90,50,4,9,2,198,Alaska,Prince of Wales-Hyder Census Area,6203,2000,2198,AK
91,50,4,9,2,220,Alaska,Sitka City and Borough,8493,2000,2220,AK
92,50,4,9,2,230,Alaska,Skagway Municipality,1183,2000,2230,AK
93,50,4,9,2,240,Alaska,Southeast Fairbanks Census Area,6893,2000,2240,AK
94,50,4,9,2,261,Alaska,Valdez-Cordova Census Area,9202,2000,2261,AK
95,50,4,9,2,275,Alaska,Wrangell City and Borough,2502,2000,2275,AK
96,50,4,9,2,282,Alaska,Yakutat City and Borough,579,2000,2282,AK
97,50,4,9,2,290,Alaska,Yukon-Koyukuk Census Area,5230,2000,2290,AK
98,40,4,8,4,0,Arizona,Arizona,7278717,4000,4000,AZ
99,50,4,8,4,1,Arizona,Apache County,71887,4000,4001,AZ
100,50,4,8,4,3,Arizona,Cochise County,125922,4000,4003,AZ
101,50,4,8,4,5,Arizona,Coconino County,143476,4000,4005,AZ
102,50,4,8,4,7,Arizona,Gila County,54018,4000,4007,AZ
103,50,4,8,4,9,Arizona,Graham County,38837,4000,4009,AZ
104,50,4,8,4,11,Arizona,Greenlee County,9498,4000,4011,AZ
105,50,4,8,4,12,Arizona,La Paz County,21108,4000,4012,AZ
106,50,4,8,4,13,Arizona,Maricopa County,4485414,4000,4013,AZ
107,50,4,8,4,15,Arizona,Mohave County,212181,4000,4015,AZ
108,50,4,8,4,17,Arizona,Navajo County,110924,4000,4017,AZ
109,50,4,8,4,19,Arizona,Pima County,1047279,4000,4019,AZ
110,50,4,8,4,21,Arizona,Pinal County,462789,4000,4021,AZ
111,50,4,8,4,23,Arizona,Santa Cruz County,46498,4000,4023,AZ
112,50,4,8,4,25,Arizona,Yavapai County,235099,4000,4025,AZ
113,50,4,8,4,27,Arizona,Yuma County,213787,4000,4027,AZ
114,40,3,7,5,0,Arkansas,Arkansas,3017804,5000,5000,AR
115,50,3,7,5,1,Arkansas,Arkansas County,17486,5000,5001,AR
116,50,3,7,5,3,Arkansas,Ashley County,19657,5000,5003,AR
117,50,3,7,5,5,Arkansas,Baxter County,41932,5000,5005,AR
118,50,3,7,5,7,Arkansas,Benton County,279141,5000,5007,AR
119,50,3,7,5,9,Arkansas,Boone County,37432,5000,5009,AR
120,50,3,7,5,11,Arkansas,Bradley County,10763,5000,5011,AR
121,50,3,7,5,13,Arkansas,Calhoun County,5189,5000,5013,AR
122,50,3,7,5,15,Arkansas,Carroll County,28380,5000,5015,AR
123,50,3,7,5,17,Arkansas,Chicot County,10118,5000,5017,AR
124,50,3,7,5,19,Arkansas,Clark County,22320,5000,5019,AR
125,50,3,7,5,21,Arkansas,Clay County,14551,5000,5021,AR
126,50,3,7,5,23,Arkansas,Cleburne County,24919,5000,5023,AR
