,Local Authority,Specimen date,Cases (new),Cumulative cases,"Cumulative incidence per 100,000 population",Testing episodes (new),Cumulative testing episodes
0,Blaenau Gwent,2020-04-28,0,270,387.3,1,677
1,Blaenau Gwent,2020-04-27,0,270,387.3,1,676
2,Blaenau Gwent,2020-04-26,1,270,387.3,6,675
3,Blaenau Gwent,2020-04-25,6,269,385.90000000000003,22,669
4,Blaenau Gwent,2020-04-24,5,263,377.3,25,647
5,Blaenau Gwent,2020-04-23,3,258,370.1,11,622
6,Blaenau Gwent,2020-04-22,8,255,365.8,26,611
7,Blaenau Gwent,2020-04-21,0,247,354.3,22,585
8,Blaenau Gwent,2020-04-20,7,247,354.3,17,563
9,Blaenau Gwent,2020-04-19,2,240,344.3,11,546
10,Blaenau Gwent,2020-04-18,9,238,341.40000000000003,24,535
11,Blaenau Gwent,2020-04-17,10,229,328.5,27,511
12,Blaenau Gwent,2020-04-16,10,219,314.1,27,484
13,Blaenau Gwent,2020-04-15,10,209,299.8,27,457
14,Blaenau Gwent,2020-04-14,9,199,285.5,19,430
15,Blaenau Gwent,2020-04-13,8,190,272.5,10,411
16,Blaenau Gwent,2020-04-12,2,182,261.1,11,401
17,Blaenau Gwent,2020-04-11,10,180,258.2,19,390
18,Blaenau Gwent,2020-04-10,5,170,243.9,9,371
19,Blaenau Gwent,2020-04-09,7,165,236.70000000000002,20,362
20,Blaenau Gwent,2020-04-08,15,158,226.60000000000002,25,342
21,Blaenau Gwent,2020-04-07,5,143,205.10000000000002,12,317
22,Blaenau Gwent,2020-04-06,16,138,198.0,20,305
23,Blaenau Gwent,2020-04-05,4,122,175.0,10,285
24,Blaenau Gwent,2020-04-04,12,118,169.3,21,275
25,Blaenau Gwent,2020-04-03,9,106,152.1,22,254
26,Blaenau Gwent,2020-04-02,8,97,139.1,20,232
27,Blaenau Gwent,2020-04-01,6,89,127.7,18,212
28,Blaenau Gwent,2020-03-31,15,83,119.10000000000001,22,194
29,Blaenau Gwent,2020-03-30,9,68,97.5,20,172
30,Blaenau Gwent,2020-03-29,5,59,84.60000000000001,13,152
31,Blaenau Gwent,2020-03-28,3,54,77.5,9,139
32,Blaenau Gwent,2020-03-27,5,51,73.2,12,130
33,Blaenau Gwent,2020-03-26,6,46,66.0,15,118
34,Blaenau Gwent,2020-03-25,5,40,57.400000000000006,19,103
35,Blaenau Gwent,2020-03-24,4,35,50.2,10,84
36,Blaenau Gwent,2020-03-23,3,31,44.5,11,74
37,Blaenau Gwent,2020-03-22,3,28,40.2,4,63
38,Blaenau Gwent,2020-03-21,2,25,35.9,12,59
39,Blaenau Gwent,2020-03-20,8,23,33.0,18,47
40,Blaenau Gwent,2020-03-19,2,15,21.5,8,29
41,Blaenau Gwent,2020-03-18,1,13,18.6,4,21
42,Blaenau Gwent,2020-03-17,7,12,17.2,11,17
43,Blaenau Gwent,2020-03-16,0,5,7.2,0,6
44,Blaenau Gwent,2020-03-15,2,5,7.2,2,6
45,Blaenau Gwent,2020-03-14,3,3,4.3,3,4
46,Blaenau Gwent,2020-03-13,0,0,0.0,0,1
47,Blaenau Gwent,2020-03-12,0,0,0.0,0,1
48,Blaenau Gwent,2020-03-11,0,0,0.0,0,1
49,Blaenau Gwent,2020-03-10,0,0,0.0,0,1
50,Blaenau Gwent,2020-03-09,0,0,0.0,0,1
51,Blaenau Gwent,2020-03-08,0,0,0.0,0,1
52,Blaenau Gwent,2020-03-07,0,0,0.0,0,1
53,Blaenau Gwent,2020-03-06,0,0,0.0,0,1
54,Blaenau Gwent,2020-03-05,0,0,0.0,0,1
55,Blaenau Gwent,2020-03-04,0,0,0.0,0,1
56,Blaenau Gwent,2020-03-03,0,0,0.0,0,1
57,Blaenau Gwent,2020-03-02,0,0,0.0,0,1
58,Blaenau Gwent,2020-03-01,0,0,0.0,0,1
59,Blaenau Gwent,2020-02-29,0,0,0.0,0,1
60,Blaenau Gwent,2020-02-28,0,0,0.0,1,1
61,Blaenau Gwent,2020-02-27,0,0,0.0,0,0
62,Blaenau Gwent,2020-02-26,0,0,0.0,0,0
63,Blaenau Gwent,2020-02-25,0,0,0.0,0,0
64,Blaenau Gwent,2020-02-24,0,0,0.0,0,0
65,Blaenau Gwent,2020-02-23,0,0,0.0,0,0
66,Blaenau Gwent,2020-02-22,0,0,0.0,0,0
67,Blaenau Gwent,2020-02-21,0,0,0.0,0,0
68,Blaenau Gwent,2020-02-20,0,0,0.0,0,0
69,Blaenau Gwent,2020-02-19,0,0,0.0,0,0
70,Blaenau Gwent,2020-02-18,0,0,0.0,0,0
71,Blaenau Gwent,2020-02-17,0,0,0.0,0,0
72,Blaenau Gwent,2020-02-16,0,0,0.0,0,0
73,Blaenau Gwent,2020-02-15,0,0,0.0,0,0
74,Blaenau Gwent,2020-02-14,0,0,0.0,0,0
75,Blaenau Gwent,2020-02-13,0,0,0.0,0,0
76,Blaenau Gwent,2020-02-12,0,0,0.0,0,0
77,Blaenau Gwent,2020-02-11,0,0,0.0,0,0
78,Blaenau Gwent,2020-02-10,0,0,0.0,0,0
