,ReportingArea,Specimen date,New cases,Cumulative cases
0,Blaenau Gwent,2020-04-28,0,270
1,Blaenau Gwent,2020-04-27,0,270
2,Blaenau Gwent,2020-04-26,1,270
3,Blaenau Gwent,2020-04-25,6,269
4,Blaenau Gwent,2020-04-24,5,263
5,Blaenau Gwent,2020-04-23,3,258
6,Blaenau Gwent,2020-04-22,8,255
7,Blaenau Gwent,2020-04-21,0,247
8,Blaenau Gwent,2020-04-20,7,247
9,Blaenau Gwent,2020-04-19,2,240
10,Blaenau Gwent,2020-04-18,9,238
11,Blaenau Gwent,2020-04-17,10,229
12,Blaenau Gwent,2020-04-16,10,219
13,Blaenau Gwent,2020-04-15,10,209
14,Blaenau Gwent,2020-04-14,9,199
15,Blaenau Gwent,2020-04-13,8,190
16,Blaenau Gwent,2020-04-12,2,182
17,Blaenau Gwent,2020-04-11,10,180
18,Blaenau Gwent,2020-04-10,5,170
19,Blaenau Gwent,2020-04-09,7,165
20,Blaenau Gwent,2020-04-08,15,158
21,Blaenau Gwent,2020-04-07,5,143
22,Blaenau Gwent,2020-04-06,16,138
23,Blaenau Gwent,2020-04-05,4,122
24,Blaenau Gwent,2020-04-04,12,118
25,Blaenau Gwent,2020-04-03,9,106
26,Blaenau Gwent,2020-04-02,8,97
27,Blaenau Gwent,2020-04-01,6,89
28,Blaenau Gwent,2020-03-31,15,83
29,Blaenau Gwent,2020-03-30,9,68
30,Blaenau Gwent,2020-03-29,5,59
31,Blaenau Gwent,2020-03-28,3,54
32,Blaenau Gwent,2020-03-27,5,51
33,Blaenau Gwent,2020-03-26,6,46
34,Blaenau Gwent,2020-03-25,5,40
35,Blaenau Gwent,2020-03-24,4,35
36,Blaenau Gwent,2020-03-23,3,31
37,Blaenau Gwent,2020-03-22,3,28
38,Blaenau Gwent,2020-03-21,2,25
39,Blaenau Gwent,2020-03-20,8,23
40,Blaenau Gwent,2020-03-19,2,15
41,Blaenau Gwent,2020-03-18,1,13
42,Blaenau Gwent,2020-03-17,7,12
43,Blaenau Gwent,2020-03-16,0,5
44,Blaenau Gwent,2020-03-15,2,5
45,Blaenau Gwent,2020-03-14,3,3
46,Blaenau Gwent,2020-03-13,0,0
47,Blaenau Gwent,2020-03-12,0,0
48,Blaenau Gwent,2020-03-11,0,0
49,Blaenau Gwent,2020-03-10,0,0
50,Blaenau Gwent,2020-03-09,0,0
51,Blaenau Gwent,2020-03-08,0,0
52,Blaenau Gwent,2020-03-07,0,0
53,Blaenau Gwent,2020-03-06,0,0
54,Blaenau Gwent,2020-03-05,0,0
55,Blaenau Gwent,2020-03-04,0,0
56,Blaenau Gwent,2020-03-03,0,0
57,Blaenau Gwent,2020-03-02,0,0
58,Blaenau Gwent,2020-03-01,0,0
59,Blaenau Gwent,2020-02-29,0,0
60,Blaenau Gwent,2020-02-28,0,0
61,Blaenau Gwent,2020-02-27,0,0
62,Blaenau Gwent,2020-02-26,0,0
63,Blaenau Gwent,2020-02-25,0,0
64,Blaenau Gwent,2020-02-24,0,0
65,Blaenau Gwent,2020-02-23,0,0
66,Blaenau Gwent,2020-02-22,0,0
67,Blaenau Gwent,2020-02-21,0,0
68,Blaenau Gwent,2020-02-20,0,0
69,Blaenau Gwent,2020-02-19,0,0
70,Blaenau Gwent,2020-02-18,0,0
71,Blaenau Gwent,2020-02-17,0,0
72,Blaenau Gwent,2020-02-16,0,0
73,Blaenau Gwent,2020-02-15,0,0
74,Blaenau Gwent,2020-02-14,0,0
75,Blaenau Gwent,2020-02-13,0,0
76,Blaenau Gwent,2020-02-12,0,0
77,Blaenau Gwent,2020-02-11,0,0
78,Blaenau Gwent,2020-02-10,0,0
79,Blaenau Gwent,2020-02-09,0,0
80,Blaenau Gwent,2020-02-08,0,0
81,Blaenau Gwent,2020-02-07,0,0
82,Blaenau Gwent,2020-02-06,0,0
83,Blaenau Gwent,2020-02-05,0,0
84,Blaenau Gwent,2020-02-04,0,0
85,Blaenau Gwent,2020-02-03,0,0
86,Blaenau Gwent,2020-02-02,0,0
87,Blaenau Gwent,2020-02-01,0,0
88,Blaenau Gwent,2020-01-31,0,0
89,Blaenau Gwent,2020-01-30,0,0
90,Blaenau Gwent,2020-01-29,0,0
91,Blaenau Gwent,2020-01-28,0,0
92,Blaenau Gwent,2020-01-27,0,0
93,Blaenau Gwent,2020-01-26,0,0
