Location,LocID,VarID,Variant,Time,MidPeriod,PopMale,PopFemale,PopTotal,PopDensity
Afghanistan,4,2,Medium,2019,2019.5,19529.727,18512.03,38041.757000000005,58.269
Africa,903,2,Medium,2019,2019.5,653513.68,654550.496,1308064.176,44.119
African Group,1823,2,Medium,2019,2019.5,652644.714,653675.858,1306320.572,44.464
African Union,1560,2,Medium,2019,2019.5,652949.469,653953.561,1306903.03,44.085
African Union: Central Africa,2080,2,Medium,2019,2019.5,76945.49799999999,77068.207,154013.705,29.191999999999997
African Union: Eastern Africa,2081,2,Medium,2019,2019.5,190633.88,191897.33899999998,382531.219,59.835
African Union: Northern Africa,2082,2,Medium,2019,2019.5,102362.525,101130.701,203493.22600000002,28.925
African Union: Southern Africa,2083,2,Medium,2019,2019.5,88295.489,91661.00300000001,179956.492,30.458000000000002
African Union: Western Africa,2084,2,Medium,2019,2019.5,194712.077,192196.31100000002,386908.388,76.875
"African, Caribbean and Pacific (ACP) Group of States",1200,2,Medium,2019,2019.5,573953.218,576237.3570000001,1150190.575,47.628
Albania,8,2,Medium,2019,2019.5,1466.785,1414.128,2880.913,105.14299999999999
Algeria,12,2,Medium,2019,2019.5,21749.666,21303.388,43053.054000000004,18.076
American Samoa,16,2,Medium,2019,2019.5,,,55.312,276.56
Andean Community,1533,2,Medium,2019,2019.5,55331.532,56405.132000000005,111736.664,30.026999999999997
Andorra,20,2,Medium,2019,2019.5,,,77.146,164.14
Angola,24,2,Medium,2019,2019.5,15744.778999999999,16080.52,31825.299,25.528000000000002
Anguilla,660,2,Medium,2019,2019.5,,,14.872,165.24400000000003
Antigua and Barbuda,28,2,Medium,2019,2019.5,46.851000000000006,50.263999999999996,97.115,220.71599999999998
Argentina,32,2,Medium,2019,2019.5,21841.415,22939.26,44780.675,16.363
Armenia,51,2,Medium,2019,2019.5,1391.269,1566.4589999999998,2957.728,103.889
Aruba,533,2,Medium,2019,2019.5,50.443000000000005,55.867,106.31,590.611
Asia,935,2,Medium,2019,2019.5,2353466.245,2247905.0209999997,4601371.266,148.273
Asia-Pacific Economic Cooperation (APEC),1207,2,Medium,2019,2019.5,1487063.708,1469181.57,2956245.278,49.16
Asia-Pacific Group,1824,2,Medium,2019,2019.5,2344133.8680000002,2238002.391,4582136.259,146.19799999999998
Association of Southeast Asian Nations (ASEAN),1557,2,Medium,2019,2019.5,330019.461,330699.265,660718.726,152.738
Australia,36,2,Medium,2019,2019.5,12551.311000000002,12651.889,25203.2,3.281
Australia/New Zealand,927,2,Medium,2019,2019.5,14902.473,15083.788999999999,29986.262000000002,3.7739999999999996
